author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315542130/;Москва;sale;flat;18;19;1;44.0;15500000;Дмитровский;Долгопрудная ;7;Лианозово;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541980/;Москва;sale;flat;18;24;1;44.0;14788400;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541969/;Москва;sale;flat;17;24;1;43.9;14754790;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541966/;Москва;sale;flat;22;24;1;40.3;13677820;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541962/;Москва;sale;flat;22;24;1;44.0;14933600;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541950/;Москва;sale;flat;19;24;1;44.2;14855620;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541944/;Москва;sale;flat;3;18;2;51.3;14025420;Кузьминки;Волгоградский проспект;97К3;Кузьминки;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541939/;Москва;sale;flat;24;24;1;40.3;13677820;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541928/;Москва;sale;flat;21;21;2;55.0;19915500;Южнопортовый; 1-я Машиностроения;5А;Дубровка;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541926/;Москва;sale;flat;23;24;1;40.3;13677820;Нагорный;Варшавское шоссе;100к1;Варшавская;
Департамент города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/315541908/;Москва;sale;flat;9;17;2;54.1;16073110;Очаково-Матвеевское;Матвеевская ;11;Аминьевская;
